head	relation	tail
sneaky spy	CapableOf	bug telephone
hairdresser	CapableOf	thin hair
jury	CapableOf	consider evidence
proctor	CapableOf	time exam
inventor	CapableOf	invent
buisinessmen	CapableOf	wear suits and ties
sucker	CapableOf	spend money on lottery tickets
football player	CapableOf	gain yards
songbird	CapableOf	sing to mate
circus trainer	CapableOf	train tiger
carpenter	CapableOf	true planks
mayor	CapableOf	govern over town
third grader	CapableOf	divide and multiply
auditor	CapableOf	note irregularities
guest at party	CapableOf	wear costume
consultant	CapableOf	explain mishap
machinist	CapableOf	machine bar
gambler	CapableOf	push luck
poker player	CapableOf	raise stakes
embezzler	CapableOf	cook books
chauffeur	CapableOf	driving limo
monarch	CapableOf	subject people to heavy taxes
fireman	CapableOf	put out fire
private detective	CapableOf	tail suspect
magician	CapableOf	saw woman in half
churchgoer	CapableOf	bring salad to potluk
preist	CapableOf	marry couples
dictator	CapableOf	ruling country
ranger	CapableOf	guide through woods
convict	CapableOf	face music
volunteer	CapableOf	help homeless
grocier	CapableOf	stock cans
widow	CapableOf	hold back tears
actress	CapableOf	star in show
poisonous snake	CapableOf	hurt with venomous bite
parishoner	CapableOf	giving tithes
quarterback	CapableOf	playing football with guys
popular speaker	CapableOf	travel widely
pizza delivery guy	CapableOf	ring doorbell
construction worker	CapableOf	nail roofing materials to roof
religious leader	CapableOf	offer solace
college student	CapableOf	move into new apartment
executor	CapableOf	see to deceased relative's affairs
city dweller	CapableOf	walk around block
good cook	CapableOf	marry tastes together
psycho	CapableOf	heading cult
researcher	CapableOf	train octopus
ballplayer	CapableOf	hit ball with bat
soprano	CapableOf	harmony
magician	CapableOf	fool audiance
sick person	CapableOf	battle disease
homeowner	CapableOf	answer telephone call
donor	CapableOf	give blood
gorgeous guy	CapableOf	increase woman's heart rate
benjamin franklin	CapableOf	fly kite
housewife	CapableOf	iron shirt
crow	CapableOf	lay eggs
ballerina	CapableOf	practice pirouettes
govenor	CapableOf	stay execution
servant	CapableOf	serve master
christian	CapableOf	forgive
competetors	CapableOf	book positions on team
even lazy dog	CapableOf	father litter of puppies
teen	CapableOf	call friend
hardworking homemaker	CapableOf	coat floor with wax
farmer	CapableOf	can produce
gymnast	CapableOf	lifting weights
approver	CapableOf	sign on dotted line
supermarket employee	CapableOf	bag groceries
old person	CapableOf	forget facts
skeptic	CapableOf	doubt intentions
homeowner	CapableOf	own home
janator	CapableOf	clean mirror
candidate	CapableOf	succeed to office
little brother	CapableOf	needle sister to bug
auditor	CapableOf	spot error
winner	CapableOf	best loser
pope	CapableOf	speak to masses
calligrapher	CapableOf	letter invitation
carpentar	CapableOf	finish table
interior designer	CapableOf	look at fabric sample
mathematician	CapableOf	explain algorithm
success	CapableOf	begins in failure
then intruder	CapableOf	use trojan horse
sailor	CapableOf	sail ship
roman soldier	CapableOf	nail jesus to cross
aarmadillos	CapableOf	get leprosy
ambitious king	CapableOf	build large kingdom
authentic source	CapableOf	carry weight
bright person	CapableOf	learn cryptography
hypochondriac	CapableOf	experiences humdudgeons
clumsy spouse	CapableOf	add nothing to process
comedian	CapableOf	work room
con artist	CapableOf	stick to
prospector	CapableOf	mine for gold
critic	CapableOf	part wheat from chaff
bloke	CapableOf	fancy girl
department head	CapableOf	chair committee
dietician	CapableOf	plan meal
human mind	CapableOf	hold unlimited knowledge
educator	CapableOf	mine for talents
writer	CapableOf	hunt for write word
no person	CapableOf	jump 1000 feet into air
gentleman	CapableOf	proper social situations
fairminded person	CapableOf	chair meeting
fly fisherman	CapableOf	play trout in stream
philosopher	CapableOf	divide truth from falsehood
town crier	CapableOf	spread news
gay men	CapableOf	go to market together
guerilla	CapableOf	spring ambush
headhunter	CapableOf	place jobseeker
human mind	CapableOf	prioritize possibilities according to pas experience and focus on most probable ones
even child	CapableOf	iron clothes
grocer	CapableOf	bagging produce
mathematician	CapableOf	prove theorum
migrant worker	CapableOf	pick fruit
government	CapableOf	incur deficit
dude	CapableOf	appear stoned
poet	CapableOf	represent world for others
passenger	CapableOf	arrive at destination
protagonist	CapableOf	wrong right
receptionist	CapableOf	book guests
runaway child	CapableOf	come home
hippy	CapableOf	grow pot
writer	CapableOf	paint word picture
magician	CapableOf	saw lady in half
watchman	CapableOf	guard campus
sudden shower	CapableOf	surprise swimmers
bishop	CapableOf	perpetuation of religious myths
thirsty person	CapableOf	dream drink
brave person	CapableOf	battle cancer and win
tourist	CapableOf	visit museum
afghan	CapableOf	growing poppies
referee	CapableOf	side with opponent
natty dresser	CapableOf	shine shoes
housewife	CapableOf	clean oven
white collar criminal	CapableOf	cook books
wood shop instructor	CapableOf	plain board as demonstration
elderly febrile stepfather	CapableOf	need nursing
diligent person	CapableOf	wind clock regularly
prince	CapableOf	play fairy tale character
sailor	CapableOf	save elian gonzales
empathetic person	CapableOf	sell themselves to others
advocate	CapableOf	push idea
gunsmith	CapableOf	blue rifler barrel
hermit	CapableOf	die alone
machinist	CapableOf	machine shaft
prince	CapableOf	line of ascension
beginner	CapableOf	succeed first time with luck
mayor	CapableOf	confuse issue
atist	CapableOf	shade picture
skier	CapableOf	learn to ski moguls
little kid	CapableOf	bug daylights out of
observer	CapableOf	report news
pervert	CapableOf	offer candy to children
hacker	CapableOf	leave doorway open for return
traveler	CapableOf	board sub
burgler	CapableOf	fence stolen items
careless person	CapableOf	wet himself while watering flowers
pretty lady	CapableOf	turn quick trick
bright light	CapableOf	blind
programmer	CapableOf	step through computer program
blind	CapableOf	leading blind
socialite	CapableOf	work room
clumsy person	CapableOf	trip over own feet
alert captain	CapableOf	right ship
amish	CapableOf	raise barn
bather	CapableOf	oil skin
brat	CapableOf	throw tantrum
builder	CapableOf	shoulder hod
nasal polyp	CapableOf	interrupt proper breathing
conman	CapableOf	fool victim
drug addict	CapableOf	bottom out in addiction
debutante	CapableOf	make society debut
government	CapableOf	stop freedom
streetwalker	CapableOf	turn trick
dowser	CapableOf	find water
taxpayer	CapableOf	share money with deadbeats
wild card	CapableOf	even odds
farmer	CapableOf	shoe horse
fisherman	CapableOf	catch pike
government	CapableOf	school children
junkie	CapableOf	buy needles from social worker
open mind	CapableOf	complete sentences
government	CapableOf	bus students
grandpa	CapableOf	walk but very slowly
smart strategist	CapableOf	divide and conquer
homeowner	CapableOf	arm alarm
daddy	CapableOf	put cat out
mammal	CapableOf	trip on lysurgic acid dyethylamide
pornstar	CapableOf	fuck
vintner	CapableOf	bottle wine
musician	CapableOf	nail difficult passage
one split second	CapableOf	change life forever
person with character	CapableOf	shoulder responsibility
pussy	CapableOf	warm cock
murderer	CapableOf	wall in victim
rhino	CapableOf	charge fence
positive person	CapableOf	battle cancer
sick person	CapableOf	fight sickness
suicidal person	CapableOf	drink poison
spoiler	CapableOf	rain on parade
strong swat of hand	CapableOf	cause pain
sentry	CapableOf	spot enemy
telephone operator	CapableOf	direct telephone call
bishop	CapableOf	religious stuff
traveller	CapableOf	returning to home
drunken fighter	CapableOf	glass opponent
tube rider	CapableOf	mind gap
old woman	CapableOf	blue hair
underachiever	CapableOf	rise to occasion
usher	CapableOf	seat audience member
cellmates	CapableOf	force anal sex on
young boy	CapableOf	meet future wife
young guy	CapableOf	eye young girl
prince	CapableOf	training king
free person	CapableOf	live above means
telemarketer	CapableOf	sell to gulible
saint	CapableOf	store up treasures in heaven
traveller	CapableOf	winter in hotel
sharp pain	CapableOf	follow stab wound
ferets	CapableOf	guard peanut butter
christian	CapableOf	repent of sin
grwing child	CapableOf	need food
office worker	CapableOf	further prospects
sometimes woman	CapableOf	make sex with herr own brother
undertaker	CapableOf	dig grave
barbarian	CapableOf	battle knight
carpenter	CapableOf	plain board
christ	CapableOf	appear to faithful
tom	CapableOf	nail becky
seamstress	CapableOf	lower hem
speed of light	CapableOf	stay constant
drug addict	CapableOf	fix joint
corrupt judge	CapableOf	subvert justice
even geek	CapableOf	lose virginity
corn plant	CapableOf	produce corn cobs
thirsty person	CapableOf	lower bucket
devious person	CapableOf	open can of worms
circus bear	CapableOf	bicycle in center ring
old person	CapableOf	fail to hear sound
cowboy	CapableOf	roll cigarette
junkie	CapableOf	need fix
graduate student	CapableOf	continue to pursue studies indefinitely
butcher	CapableOf	salt pork
astronaut	CapableOf	journey to distant places
beggar	CapableOf	need clothes
builder	CapableOf	wall garden
housewife	CapableOf	garden vegetables
busy person	CapableOf	stop to smell roses
fisherman	CapableOf	row dory
childre	CapableOf	rush out to play
clueless person	CapableOf	bug another person
woodsman	CapableOf	guide tourists
courier company	CapableOf	ship documents
dacer	CapableOf	step dance
fish farmer	CapableOf	farm salmon
developer	CapableOf	wall community
peaceful person	CapableOf	stay above fray
dinosaur	CapableOf	eat
long time home owner	CapableOf	lending lawn mower
burn patient	CapableOf	grow new skin
taxpayer	CapableOf	experience frustration
sloth	CapableOf	animal or sin
fisherman	CapableOf	fish for compliments
fat person	CapableOf	wedge himself into airplane seat
goverment	CapableOf	force people to move
chimpanzee	CapableOf	fool caretakers
uncreative person	CapableOf	watch television for hours on end
young man	CapableOf	continue father's business
good athlete	CapableOf	best amateur
craftsman	CapableOf	machine bar of steel
grayhound	CapableOf	bus many people
true love	CapableOf	weather storm
herbalist	CapableOf	gather herbs
movie star	CapableOf	care only about own needs
alien	CapableOf	look scary
crazy woman	CapableOf	hit boyfriend
machinist	CapableOf	blue workpiece
fat man	CapableOf	ride lawn mower
one plant	CapableOf	seed another
gentleman	CapableOf	formal events
construction worker	CapableOf	wall yard
nasa	CapableOf	start trip to stars
no person	CapableOf	lift car over head
idiot	CapableOf	ask silly question
petitioner	CapableOf	return empty handed
canary	CapableOf	detect gas in mine
class person	CapableOf	take in college formal logic
maestro	CapableOf	master young musician
quack	CapableOf	offer panacea
radical	CapableOf	father revolution
reader	CapableOf	miss word
israeli	CapableOf	crossing jordan
usher	CapableOf	seat theater goer
satan	CapableOf	smite mortals
school principal	CapableOf	iron out difficulties
sibling	CapableOf	bug another sibling
signpainter	CapableOf	letter sign
stage magician	CapableOf	guess number
story teller	CapableOf	word phrase
intern	CapableOf	play around with president
dieter	CapableOf	desire hot fudge sundae
foolhardy person	CapableOf	bring coals to newcastle
voodoo artist	CapableOf	will to happen
stupid person	CapableOf	watch too much tv
wily fox	CapableOf	fool
quarterback	CapableOf	win football game
bank customer	CapableOf	fix money
mayor	CapableOf	council
society	CapableOf	like minded people
rider	CapableOf	trainer
good cabinet maker	CapableOf	fair joint
boob	CapableOf	attract lot of attention
competitor	CapableOf	give up
farmer	CapableOf	fence pasture
nasa	CapableOf	position satilitte in orbit
idiot	CapableOf	fool no one
football player	CapableOf	cry team lost
engineer	CapableOf	bridge river
job hunter	CapableOf	land good
good rider	CapableOf	break colt
clever person	CapableOf	fool foolish person
intelligent man	CapableOf	understand women love flowers
flirt	CapableOf	eye guys
financier	CapableOf	arm army
collector	CapableOf	fancy trinket
deacon	CapableOf	pass plate
smile of child	CapableOf	win heart
senior	CapableOf	list ailments
dishonest cashier	CapableOf	short on purchase
drug addict	CapableOf	see hallucinations
loss of love	CapableOf	break heart
crook	CapableOf	salt mine
justice	CapableOf	right wrongs
person	CapableOf	leave bar
welder	CapableOf	join pipes
parent	CapableOf	give child up for adoption
baker	CapableOf	coat cake with lemon flavored frosting
doctor	CapableOf	order medicine
doctor	CapableOf	service community
dog	CapableOf	dig up bones
brother	CapableOf	object to
human	CapableOf	sail sailboat
person	CapableOf	end relationship
batter	CapableOf	hit foul ball
cook	CapableOf	brown chicken in skillet
teacher	CapableOf	care students
chef	CapableOf	cook egg
guide	CapableOf	teach follower
person	CapableOf	teach peace
robber	CapableOf	case store
person	CapableOf	push door open
person	CapableOf	notice moved
driver	CapableOf	bus passengers
smoker	CapableOf	smoke
person	CapableOf	talk to else
victim	CapableOf	attempt to forgive
person	CapableOf	reply to e mail
person	CapableOf	leave house
child	CapableOf	turn doorknob
person	CapableOf	sail boat
cat	CapableOf	act nonchalant
victim	CapableOf	report crime to police
person	CapableOf	hear voice
policeman	CapableOf	carrying gun
student	CapableOf	complete exam
author	CapableOf	write
waiter	CapableOf	offer menu
soldier	CapableOf	man border crossing
person	CapableOf	serve food with ladle
love	CapableOf	bring joy
diner	CapableOf	order dessert
